8	26.9 	32.0 	22.7 	36.6 	19.2 
9	23.7 	27.6 	20.6 	32.3 	15.3 
10	17.3 	21.4 	13.3 	25.3 	6.8 
11	11.1 	15.8 	6.2 	21.0 	-0.3 
12	6.7 	12.3 	0.8 	16.1 	-3.4 
1	2.5 	7.0 	-2.6 	14.6 	-6.8 
2	5.0 	9.9 	0.3 	21.0 	-6.9 
3	8.1 	13.2 	2.5 	18.9 	-3.3 
4	12.0 	16.6 	6.8 	22.2 	-1.8 
5	17.4 	21.6 	13.3 	28.1 	6.2 
6	20.6 	24.1 	17.5 	29.7 	12.4 
7	23.9 	27.3 	21.5 	34.2 	18.7 
8	25.3 	29.4 	21.9 	33.4 	17.8 
9	22.1 	25.8 	18.9 	32.5 	15.1 
10	17.9 	22.3 	13.9 	26.3 	8.9 
11	12.7 	17.1 	7.8 	23.4 	1.5 
12	7.5 	11.7 	2.7 	18.9 	-2.6 
1	4.3 	9.5 	-1.5 	17.4 	-5.6 
2	4.2 	9.0 	-1.1 	16.2 	-6.1 
3	7.0 	12.2 	0.9 	18.3 	-5.1 
4	13.2 	18.8 	7.4 	28.3 	-1.5 
5	15.1 	20.0 	10.5 	26.8 	2.9 
6	21.0 	25.2 	17.4 	33.8 	12.2 
7	23.6 	27.7 	20.1 	34.0 	16.7 
8	25.9 	30.3 	22.6 	33.7 	17.8 
9	22.9 	27.0 	19.5 	33.0 	12.8 
10	17.8 	21.4 	14.2 	29.9 	8.3 
11	10.6 	16.3 	4.1 	23.3 	-0.6 
12	3.5 	9.1 	-2.7 	13.8 	-7.1 
1	3.6 	8.9 	-2.0 	14.9 	-6.3 
2	6.0 	12.2 	-0.6 	21.5 	-6.0 
3	7.8 	13.3 	2.0 	22.2 	-4.8 
4	14.1 	20.1 	7.9 	29.6 	3.1 
5	17.6 	22.0 	13.5 	30.3 	8.9 
6	21.1 	25.9 	16.3 	32.4 	7.8 
7	25.9 	31.4 	21.4 	38.4 	15.3 
8	25.3 	29.8 	21.2 	34.7 	15.0 
9	23.3 	27.3 	19.7 	32.3 	13.9 
10	16.1 	19.9 	12.5 	27.2 	4.2 
11	13.4 	18.0 	8.8 	23.4 	3.2 
12	7.8 	12.5 	2.8 	24.2 	-3.2 
1	3.2 	8.3 	-2.6 	13.4 	-8.9 
2	4.2 	8.8 	-0.6 	13.3 	-5.5 
3	6.7 	12.0 	0.5 	20.3 	-4.8 
4	13.3 	18.0 	8.2 	27.7 	0.5 
5	16.7 	20.9 	12.3 	26.4 	5.1 
6	21.1 	25.2 	17.4 	31.9 	11.9 
7	20.8 	24.2 	18.0 	32.7 	15.0 
8	24.1 	28.2 	21.0 	33.8 	17.8 
9	22.2 	26.8 	18.4 	33.8 	9.4 
10	15.9 	20.2 	11.4 	28.1 	6.0 
11	13.1 	16.7 	9.0 	24.0 	0.4 
12	6.4 	12.2 	0.8 	17.3 	-6.3 
